date,nav,cash,n_positions,csi300_nav
2017-08-01,1946343.4175398827,378.88525991447386,10,
2017-08-02,1920772.1924951554,183819.19373779304,9,
2017-08-03,1925800.0612722398,571458.7568746568,7,
2017-08-04,1922579.620047772,1147903.38642236,4,
2017-08-07,1920756.085989511,763796.583149469,6,
2017-08-08,1928387.7095142961,591693.5274044634,7,
2017-08-09,1923926.5805211663,37854.722711145936,10,
2017-08-10,1925382.8646806597,4598.884954822104,10,
2017-08-11,1901636.91883986,752089.0405744791,6,
2017-08-14,1926009.8985111476,368242.5546085597,8,
2017-08-15,1918581.5627217055,1216.6359066725418,10,
2017-08-16,1944602.2818646312,72.99230908163008,10,
2017-08-17,1964502.9311593415,414.6154816985654,10,
2017-08-18,1969815.0053879141,1088.389100682747,10,
2017-08-21,1989839.6984239935,1088.389100682747,10,
2017-08-22,1980923.0623489977,216634.3828446031,9,
2017-08-23,1964965.7141472935,402994.4615628362,8,
2017-08-24,1945713.9977980496,1533759.1089774014,2,
2017-08-25,1944770.9119172932,1352618.6435075642,3,
2017-08-28,1960032.7657281281,192292.13290799878,9,
2017-08-29,1951721.9658141495,645.840716874809,10,
2017-08-30,1957551.1293177963,645.840716874809,10,
2017-08-31,1955192.1493941667,193512.27406801007,9,
2017-09-01,1963124.5054693583,383211.52147964266,8,
2017-09-04,1966424.1459425334,571272.4410589578,7,
2017-09-05,1964547.4568342569,46.489379346661735,10,
2017-09-06,1974374.953388274,139.7146931293537,10,
2017-09-07,1952643.1873984458,396257.7388949516,8,
2017-09-08,1950256.425757134,969836.3033959509,5,
2017-09-11,1962150.205949974,180466.56980915074,9,
2017-09-12,1990038.6118894578,119.89305076605524,10,
2017-09-13,2003996.9635070325,442.21223006251967,10,
2017-09-14,2018205.591193998,1245.9981840491819,10,
2017-09-15,2000592.0114677788,1245.9981840491819,10,
2017-09-18,2030437.9659813286,1245.9981840491819,10,
2017-09-19,2023441.515111661,1011.1562487841293,10,
2017-09-20,2060238.8101160529,1196.1489260198432,10,
2017-09-21,2065360.6622993948,1196.1489260198432,10,
2017-09-22,2061787.6058846477,359366.14795026806,8,
2017-09-25,2054627.7562475684,351247.7250433448,8,
2017-09-26,2063151.3826300148,544943.5343672279,7,
2017-09-27,2075610.105291939,337444.57432422676,8,
2017-09-28,2081389.2721546178,343627.9088390355,8,
2017-09-29,2079189.979687715,47.84545042560785,10,
2017-10-09,2108485.768843389,1419.1446072821564,10,
2017-10-10,2128161.5290171867,1419.1446072821564,10,
2017-10-11,2129491.2452933555,220851.85878250646,9,
2017-10-12,2124240.3665301567,492511.4947554831,8,
2017-10-13,2137524.253102923,625671.4611259941,7,
2017-10-16,2126064.161969686,841837.2293963674,6,
2017-10-17,2115602.4671108965,1474429.231217647,3,
2017-10-18,2115292.7607053043,1476256.5653317694,3,
2017-10-19,2109149.8098366978,1476256.5653317694,3,
2017-10-20,2104750.2204554086,1680991.8442385201,2,
2017-10-23,2104450.851597071,1680991.8442385201,2,
2017-10-24,2101935.657771588,841113.8040385251,6,
2017-10-25,2116711.202280498,784.4702648882521,10,
2017-10-26,2113930.3255900624,154.3541297201591,10,
2017-10-27,2105159.8428470856,404683.750413156,8,
2017-10-30,2102007.1356495623,1220029.3054302935,4,
2017-10-31,2122218.4136112933,1220029.3054302935,4,
2017-11-01,2124846.3972767596,1220029.3054302935,4,
2017-11-02,2127535.084080506,582460.1911304479,7,
2017-11-03,2110858.699719716,1029047.4949524885,5,
2017-11-06,2136333.5991484644,1238322.8819472317,4,
2017-11-07,2137623.9922468904,384497.64608790906,8,
2017-11-08,2143337.794619155,928.0478769066394,10,
2017-11-09,2175874.499111438,8978.051262164343,10,
2017-11-10,2190682.6972773317,8978.051262164343,10,
2017-11-13,2207689.1913225893,8978.051262164343,10,
2017-11-14,2225980.27383039,429568.5347194436,8,
2017-11-15,2186658.3435429577,882114.5775212292,6,
2017-11-16,2188993.6211905964,1309912.1417365556,4,
2017-11-17,2181560.199882079,1533338.2369533067,3,
2017-11-20,2220142.29585681,1311588.0908206468,4,
2017-11-21,2218182.680423594,1089993.3839872843,5,
2017-11-22,2212842.798950911,648185.4306962495,7,
2017-11-23,2163021.053350783,1062862.1443637377,5,
2017-11-24,2170389.3557003504,1702449.548380709,2,
2017-11-27,2161337.37152896,1069870.5444224838,5,
2017-11-28,2166452.4270652654,982.8520654562453,10,
2017-11-29,2214108.359682453,982.8520654562453,10,
2017-11-30,2207420.072901142,982.8520654562453,10,
2017-12-01,2217296.2329267384,982.8520654562453,10,
2017-12-04,2213065.641468275,275.23896049294854,10,
2017-12-05,2188978.882796872,406795.47417889873,8,
2017-12-06,2176550.7264364366,1514482.880972684,3,
2017-12-07,2174889.4086694126,1297442.0334910755,4,
2017-12-08,2176044.1723973276,1528359.4832093243,3,
2017-12-11,2180364.438605821,220878.35006765157,9,
2017-12-12,2170253.922686899,4576.927981698827,10,
2017-12-13,2197212.593660677,4576.927981698827,10,
2017-12-14,2213611.1182602053,89.15659505160875,10,
2017-12-15,2243091.3064698344,212836.78083220753,9,
2017-12-18,2241678.8839809066,427963.35186878475,8,
2017-12-19,2251298.27583164,714.7360119226505,10,
2017-12-20,2239872.9228353384,644182.6433277014,7,
2017-12-21,2241707.0747035625,394116.89757286344,8,
2017-12-22,2249879.9445167184,617483.3354964855,7,
2017-12-25,2251366.239550555,626787.5664739253,7,
2017-12-26,2268683.708543241,617432.2401232123,7,
2017-12-27,2258408.736286223,845459.0234375596,6,
2017-12-28,2264380.8006631015,25.301967728097225,10,
2017-12-29,2263025.6418818594,43249.82858840225,10,
2018-01-02,2294625.2730709077,38684.52139911652,10,
2018-01-03,2303726.18447361,38684.52139911652,10,
2018-01-04,2326990.4898983003,38684.52139911652,10,
2018-01-05,2343300.8984905244,38684.52139911652,10,
2018-01-08,2353939.684186554,38684.52139911652,10,
2018-01-09,2338972.2173746703,660609.0624865175,7,
2018-01-10,2339605.6238344787,1351560.7782534242,4,
2018-01-11,2319496.827507651,1835576.1579519869,2,
2018-01-12,2321514.6387755517,1858216.2898718957,2,
2018-01-15,2308459.398859704,1858216.2898718957,2,
2018-01-16,2305782.575112999,1389440.4888932114,4,
2018-01-17,2293130.0310031776,1615817.2134296303,3,
2018-01-18,2290870.282591832,460002.8585329179,8,
2018-01-19,2290679.6413217667,2213.1168638352246,10,
2018-01-22,2320141.35215627,2213.1168638352246,10,
2018-01-23,2323228.5587295177,7068.589352000126,10,
2018-01-24,2344219.028417266,232949.42607084548,9,
2018-01-25,2339444.036761344,438698.9139948491,8,
2018-01-26,2349157.1055805567,667388.9925396326,7,
2018-01-29,2320766.041446102,1121258.6179021718,5,
2018-01-30,2319522.23255955,1800858.4822925213,2,
2018-01-31,2312543.510293019,1838958.8118066909,2,
2018-02-01,2312855.7360162856,1838958.8118066909,2,
2018-02-02,2313253.0977716567,1838958.8118066909,2,
2018-02-05,2300934.6689495207,1612121.5498241545,3,
2018-02-06,2265978.3368931888,1598800.732217896,3,
2018-02-07,2275935.40152179,1598800.732217896,3,
2018-02-08,2296044.5898878695,1593579.0441382052,3,
2018-02-09,2283259.0705875997,1137808.1232075335,5,
2018-02-12,2328669.7479792237,1255.335766851902,10,
2018-02-13,2344617.469269812,1255.335766851902,10,
2018-02-14,2354899.8613901734,1255.335766851902,10,
2018-02-22,2388689.352471411,1255.335766851902,10,
2018-02-23,2385765.562779486,1255.335766851902,10,
2018-02-26,2462080.562645972,1255.335766851902,10,
2018-02-27,2498527.5319643617,1255.335766851902,10,
2018-02-28,2521747.805485785,420989.97658258677,8,
2018-03-01,2576307.3434687257,420989.97658258677,8,
2018-03-02,2557825.1130475164,655273.3424557805,7,
2018-03-05,2594368.62179271,900602.5002144933,6,
2018-03-06,2585561.583676255,900602.5002144933,6,
2018-03-07,2577447.1589676975,1467931.7129723667,4,
2018-03-08,2605800.9187333225,1467931.7129723667,4,
2018-03-09,2625704.7054968,2016902.5459966778,2,
2018-03-12,2635160.6062612655,2016902.5459966778,2,
2018-03-13,2633371.2574682357,2016902.5459966778,2,
2018-03-14,2618681.564017308,2016902.5459966778,2,
2018-03-15,2623973.8799772384,2016902.5459966778,2,
2018-03-16,2619952.4193160175,2326275.280033791,1,
2018-03-19,2638082.252537453,2326275.280033791,1,
2018-03-20,2646378.955876076,2326275.280033791,1,
2018-03-21,2643262.194096291,2326275.280033791,1,
2018-03-22,2639179.7432295918,2326275.280033791,1,
2018-03-23,2630926.923405373,2326275.280033791,1,
2018-03-26,2644974.2302291035,2326275.280033791,1,
2018-03-27,2654719.6182601093,2326275.280033791,1,
2018-03-28,2658933.7952010273,2326275.280033791,1,
2018-03-29,2647608.1222884296,2326275.280033791,1,
2018-03-30,2662094.415318215,2326275.280033791,1,
2018-04-02,2668459.614598,2326275.280033791,1,
2018-04-03,2673507.905613625,2326275.280033791,1,
2018-04-04,2661567.6117293476,2326275.280033791,1,
2018-04-09,2677896.1383570787,2061440.9717311023,2,
