date,nav,cash,n_positions,kospi_nav,kospi200_nav
2017-10-25,150061118.98327944,3640200.8879397977,10,118260795.30088298,120674997.25163986
2017-10-26,148030572.26473847,16129736.234930828,9,117697603.46929964,119824837.84675144
2017-10-27,150132587.60015127,16129736.234930828,9,118456749.99881384,120645681.410092
2017-10-30,150974907.8597347,16129736.234930828,9,118708217.28671539,121067096.6323427
2017-10-31,151445664.10784912,30286161.659350865,8,119728320.4357501,122236065.81406428
2017-11-01,151755552.50691766,30182283.751818165,8,121295958.0191969,124137931.03448276
2017-11-02,150145389.65184247,14426760.633216735,9,120816272.30586015,123687199.97068416
2017-11-03,150781244.19990775,0.0,10,121367128.00633886,124163582.39583716
2017-11-06,152716305.03211528,31366116.61576195,8,120960984.61304876,123639561.72816886
2017-11-07,150927010.26436648,45266202.70743407,7,120772621.38041307,123405034.99578586
2017-11-08,152836369.1507662,56142559.34031962,6,121102850.12075175,123786140.93590826
2017-11-09,153600914.89953873,24385602.222578377,8,121016022.73643857,123544285.24313825
2017-11-10,152146869.49242944,9168636.147113448,9,120654479.2017574,123111876.5803071
2017-11-13,153695186.23769096,8382151.231891418,9,120056651.309765,122514566.30876909
2017-11-14,153043170.12117043,24145832.648143522,8,119880624.2082339,122254388.2150317
2017-11-15,156238550.03448364,24145832.648143522,8,119482546.74681988,121723038.58697644
2017-11-16,155631007.66761178,23119683.049618293,8,120267314.47170518,122525559.74934955
2017-11-17,155044226.67339432,37561179.408502,7,120229357.14522946,122459599.10586683
2017-11-20,155365323.95491558,37561179.408502,7,119929494.26607136,121997874.60148779
2017-11-21,154860181.20680028,58001162.35894227,6,120073257.64009811,122214078.93290336
2017-11-22,155369612.62595713,42461873.694150135,7,120538709.35600652,122939646.01121332
2017-11-23,157283288.2889086,57508656.27070446,6,120379288.58480853,122580526.95225184
2017-11-24,157412062.26913902,41765092.04615334,7,120719955.589928,122921323.6102459
2017-11-27,157254866.41136873,27287675.830090478,8,118987203.63631187,120755615.81589651
2017-11-28,157035920.66384998,26925127.606545694,8,119289913.31495567,121290629.92414528
2017-11-29,156604515.7656329,60109024.97431001,6,119228707.12601356,121177031.03814726
2017-11-30,156208626.73597574,58979150.247787535,6,117495480.70581648,119187218.29308514
2017-12-01,156291653.68937355,58979150.247787535,6,117449931.91404562,119014987.72399135
2017-12-04,157533519.71663737,74183530.34088197,5,118695881.1556108,120477115.3211917
2017-12-05,159835933.6718523,74183530.34088197,5,119096805.4165105,120784931.65744439
2017-12-06,160604739.80762187,74183530.34088197,5,117400587.3896272,118919711.23896074
2017-12-07,160165818.80983347,58164549.21160168,6,116812723.29583465,118578914.58096668
2017-12-08,158947518.68539953,75923515.1892406,5,116908565.54518583,118978342.92205651
2017-12-11,159644737.88986877,59956649.957632914,6,117263941.01431464,119128586.60998937
2017-12-12,159622528.65270704,75054573.90571053,5,116766225.5709019,118754809.63025396
2017-12-13,160013991.3842214,11010608.526033146,9,117693807.73665208,119528014.9510792
2017-12-14,157786930.953739,42763861.608856775,7,117168573.23154444,119000329.80321743
2017-12-15,159318869.65244514,26829588.082425073,8,117765926.65695591,119546337.35204662
2017-12-18,159931171.37658146,26829588.082425073,8,117756911.79191794,119681923.11920556
2017-12-19,158646650.4210267,10962546.5488296,9,117597965.4873009,119740554.8023013
2017-12-20,162197802.55104077,0.0,10,117305694.07343791,119385100.2235333
2017-12-21,159521788.37435362,65387511.62415205,6,115287313.23809206,117160760.74608819
2017-12-22,163621717.33791518,63380612.07493869,6,115795466.94628564,117706768.29491737
2017-12-26,163796016.62926933,30611592.767265253,8,115169171.05943643,116856608.89002895
2017-12-27,166952835.10214025,13913808.34076169,9,115611848.3794594,117354978.19634286
2017-12-28,170096015.96256799,0.0,10,117074154.38193609,119000329.80321743
2018-01-02,170865062.8749663,0.0,10,117651105.7443669,119462054.30759646
2018-01-03,170115524.53144953,0.0,10,117968998.35360095,119876140.56946023
2018-01-04,168296685.45636067,30765557.319990903,8,117025284.32409862,118941698.12012166
2018-01-05,169652225.9928718,29905942.137958873,8,118498977.52451806,120550404.92506139
2018-01-08,171029413.75030556,45239436.412401035,7,119246736.85608955,121396899.8497563
2018-01-09,172700983.9974395,39664492.70398656,7,119102024.54890089,121019458.38982742
2018-01-10,182754805.60659233,21386274.51703872,8,118604783.5720691,120052035.61874749
2018-01-11,185137700.57169607,4.656612873077393e-10,10,118043015.14022858,119341126.46121149
2018-01-12,195805523.31337053,4.656612873077393e-10,10,118446786.20061395,119725896.88152736
2018-01-15,200951352.86593258,13872129.434099397,9,118793621.27128574,119971417.05449082
2018-01-16,204832321.9471411,0.0,10,119648135.58357015,120935175.34537725
2018-01-17,200304999.3086676,0.0,10,119348747.170993,120631023.48931804
2018-01-18,198201443.0683809,0.0,10,119366776.90106896,120609036.60815714
2018-01-19,192219788.7633937,32965821.16327645,9,119577914.52959013,120751951.33570302
2018-01-22,191961155.65559918,32965821.16327645,9,118716757.68517245,119560995.27282056
2018-01-23,196903154.94219998,11028211.732941411,10,120353192.92285646,121268643.04298437
2018-01-24,198824268.22966358,16737156.075297382,10,120419618.24418896,121261314.08259739
2018-01-25,198130115.32536817,16737156.075297382,10,121569250.76982202,122422954.303932
2018-01-26,198946860.9335841,16737156.075297382,10,122163757.39574783,122899336.72908497
2018-01-29,201114321.78305697,16737156.075297382,10,123275432.59490517,123877752.94074537
2018-01-30,201533691.39980978,38477081.68581567,8,121830681.85592344,122173769.65077505
2018-01-31,200292046.66678983,61137929.26515879,7,121769950.13356233,122166440.69038807
2018-02-01,200789731.18639064,74968504.64204171,6,121868639.18239918,122159111.7300011
2018-02-02,200533966.047189,34849693.81578128,8,119821315.88561557,119832166.80713841
2018-02-05,194479841.09083134,72954436.72077464,6,118225210.307312,118468980.17516217
2018-02-06,194536078.80848125,135161687.70883316,3,116401360.77015415,116534134.63300231
2018-02-07,195118172.39008147,135161687.70883316,3,113708762.92328349,113774781.04730844
2018-02-08,196973251.0810783,135161687.70883316,3,114233522.96181017,114192531.78936568
2018-02-09,195289782.69990137,173121176.2862615,1,112152987.00436033,111704349.73798966
2018-02-12,196190945.56224447,173121176.2862615,1,113178309.28578545,112913628.20183957
2018-02-13,195920596.70354155,173121176.2862615,1,113643761.00169384,113917695.77485436
2018-02-14,196041423.94520804,153514097.2348683,2,114907739.97333497,115211257.28315438
2018-02-19,195667177.811934,94787556.52901389,5,115903645.32674143,116021107.40591449
2018-02-20,193065006.57914189,0.0,10,114589372.89751996,114635933.89277731
2018-02-21,197206372.31522036,0.0,10,115278772.83963503,115236908.6445088
2018-02-22,195551477.412175,0.0,10,114549517.70472048,114394078.20000733
2018-02-23,196899924.26222524,0.0,10,116316431.25216475,116094397.00978416
2018-02-26,197331740.50932658,2759147.9147794135,10,116607279.26628487,116288614.46003884
2018-02-27,196754043.8669933,37724285.6119775,8,116535634.81256197,116101725.97017112
2018-02-28,192625446.66931435,74611285.59440985,6,115170119.99259833,114646927.33335777
2018-03-02,193348573.84624094,93047359.23218316,5,113974464.20861346,112994246.76609623
2018-03-05,190254253.36508298,130406912.65947889,3,112688659.7742488,111612737.73315254
2018-03-06,192720042.95378315,149452688.9919157,2,114413345.79598886,113767452.08692147
2018-03-07,192153961.73397434,149452688.9919157,2,113958332.3448613,114016636.74007842
2018-03-08,193926083.73622042,149452688.9919157,2,115441514.87689964,115350507.53050679
2018-03-09,193146656.22933945,110811782.83656543,4,116692683.2508552,116409542.30642384
2018-03-12,195402164.61863536,52164781.82795547,7,117863192.30604991,117519879.80504966
2018-03-13,195226386.61442363,0.0,10,118355214.15049128,118355381.28916414
2018-03-14,195331274.10898077,0.0,10,117956187.7559154,117992597.75000916
2018-03-15,198429265.2085028,0.0,10,118255101.70191163,118267433.76452051
2018-03-16,199493137.1800157,0.0,10,118330541.88828209,118318736.48722929
2018-03-19,200891385.4207748,0.0,10,117431902.18396968,117391622.9982777
2018-03-20,202384990.12379566,0.0,10,117929617.62738241,117919308.14613949
2018-03-21,204870456.35294574,18672374.241390884,9,117903521.96543035,117849683.02246328
2018-03-22,201802783.5554327,0.0,10,118427807.53737609,118479973.61574261
2018-03-23,199987988.74298638,14714907.109454207,9,114667185.41679516,114485690.20484444
2018-03-26,203841589.5102056,75140890.14889447,6,115631301.50927818,115390816.81263512
2018-03-27,207095996.66475087,12984162.514985688,9,116342052.44753586,115922166.44069038
2018-03-28,207809792.3556343,12984162.514985688,9,114787225.4617746,114262156.91304189
2018-03-29,209497383.94155544,0.0,10,115597614.382031,114998717.43193229
2018-03-30,212844195.81144857,0.0,10,116047408.70076816,115288211.36721757
2018-04-02,213814150.00331888,0.0,10,115967223.84858821,115064678.075415
2018-04-03,217279733.48935965,3.725290298461914e-09,10,115885141.13008448,114837480.30341896
2018-04-04,225672447.39984465,0.0,10,114254399.49137181,113063871.88977244
2018-04-05,230999748.57709393,9180091.820451127,9,115652178.03883983,114712887.9768405
2018-04-06,241421837.44175777,0.0,10,115275451.5735684,114188867.30917221
2018-04-09,246162408.37383318,0.0,10,115963428.11594065,114863131.66477336
2018-04-10,245381440.38167515,0.0,10,116279422.85885091,115042691.1942541
2018-04-11,245766647.9269188,0.0,10,115970070.6480739,114676243.17490563
2018-04-12,237562231.48128656,0.0,10,115898426.194351,114778848.62032321
2018-04-13,239504150.57479674,4133602.938882157,10,116484866.88840072,115379823.37205468
2018-04-16,240996104.4170943,1455746.5022398569,10,116599687.80098973,115493422.2580527
2018-04-17,242795089.9006849,10363860.985889742,9,116423186.23287769,115299204.80779801
2018-04-18,241256612.6521114,51871559.68155611,8,117666763.14153813,116764996.88519184
2018-04-19,241971890.95937806,51871559.68155611,8,117957136.6890773,117307339.95382756
2018-04-20,242120195.94993693,27655913.179947104,9,117493582.8394927,116490160.8706805
2018-04-23,245902550.0640226,654930.897964187,10,117388251.25852261,116490160.8706805
2018-04-24,243038859.84724155,21570576.85554198,9,116915208.07731906,115746271.39140314
2018-04-25,242895355.70745212,44145997.04595273,8,116187850.8087283,115061013.59522152
2018-04-26,243835725.23913944,44145997.04595273,8,117460844.64540738,116559785.9943567
2018-04-27,244861707.50638336,44145997.04595273,8,118256050.63507351,117556524.60698451
2018-04-30,253582237.76790372,44145997.04595273,8,119346374.83808827,118567921.14038624
2018-05-02,262804167.29944077,40160013.139461815,8,118882820.98850366,118190479.68045732
2018-05-03,255131127.08778787,14643078.62321679,9,118011700.34588613,117464912.6021474
2018-05-04,261662962.93741333,14643078.62321679,9,116784255.30097787,116072410.12862326
2018-05-08,258809318.5516518,0.0,10,116235297.4668229,115749935.87159663
2018-05-09,262763056.14827296,52433284.75198835,8,115958683.45013118,115218586.24354136
2018-05-10,263228034.21256697,25572801.699831877,9,116916157.01048094,116277621.0194584
2018-05-11,265112824.14928097,0.0,10,117559059.2276633,116717358.64267653
2018-05-14,274193175.1882424,0.0,10,117483144.57471187,116427864.70739128
2018-05-15,271561744.02494913,0.0,10,116649506.79198909,115409139.21360256
2018-05-16,264485257.25906375,0.0,10,116710238.51435025,115786580.67353147
2018-05-17,269919332.7138963,0.0,10,116170770.01181419,115170948.00102608
2018-05-18,279125380.46385735,0.0,10,116749619.24056879,115566711.8619224
2018-05-21,277679328.26808965,18689722.265741456,10,116983056.7983944,115889186.11894903
2018-05-23,279158421.8317524,17235996.596955374,10,117283868.61071438,116644069.03880684
2018-05-24,277922518.4937133,15848807.365041371,10,117003933.32795605,116339917.18274763
2018-05-25,279940939.57714397,39423109.42969863,9,116756736.239283,116548792.55377626
2018-05-28,279836432.8903226,39423109.42969863,9,117618367.55028158,116893253.69196379
2018-05-29,279708674.80792105,39423109.42969863,9,116588300.60304701,115870863.7179816
2018-05-30,281393957.12607193,38001485.40953991,9,114300422.74972363,113327714.46370333
2018-05-31,284130976.1620606,38001485.40953991,9,114963727.02988666,113936018.17582178
2018-06-01,287003821.09328175,38001485.40953991,9,115720501.22649612,114778848.62032321
2018-06-04,288954143.69268686,72652397.8946257,8,116138031.81772892,115372494.4116677
2018-06-05,289691037.0554143,14696829.854074866,10,116422711.76629674,115709626.58946829
2018-06-07,294713437.3882068,12412602.22869628,10,117220764.55544852,116409542.30642384
2018-06-08,295070082.6320748,9249956.435919631,10,116319278.05165043,115420132.65418303
2018-06-11,296827734.815271,9249956.435919631,10,117200362.49246784,116244640.69771706
2018-06-12,299345313.6181528,9249956.435919631,10,117137732.9037829,116105390.4503646
2018-06-14,298478808.9203085,9249956.435919631,10,114986026.95919113,114038623.62123933
2018-06-15,297774977.5425197,64320873.455878794,8,114063663.92583138,113133497.01344866
2018-06-18,291063949.1273357,121216736.52794321,6,112744646.83080046,111894902.70805088
2018-06-19,287207044.72213024,180161867.56235164,4,111030399.07384123,110429110.63065706
2018-06-20,290330333.47344005,209695769.12290567,3,112159629.53649358,111407526.8423174
2018-06-21,289579794.3366138,225623382.13855702,2,110922220.69338544,110308182.78427206
2018-06-22,289363042.4429513,254261399.53240886,1,111842211.39384045,111286598.99593243
2018-06-25,290981368.3087468,225158903.86543828,2,111873526.18818294,111169335.62974092
2018-06-26,288085463.8365892,196346042.02568755,3,111543297.44784425,110945802.33793835
2018-06-27,287982430.8426463,167543485.0287424,4,111121496.65738294,110758913.84807067
2018-06-28,286128153.9496492,167543485.0287424,4,109802954.02893296,109296786.25087032
2018-06-29,286889448.0969442,172692381.2303354,4,110367094.79367821,109809813.47795817
2018-07-02,281055219.8556996,224890978.0158239,2,107776981.72829196,107343618.30774306
2018-07-03,280093866.6325985,196877395.60881862,3,107834866.65116744,107497526.4758694
2018-07-04,277587878.94563866,222318515.56701016,2,107488506.04707655,107098098.13477957
2018-07-05,277810486.6610833,222318515.56701016,2,107113202.98154801,106867235.88259006
2018-07-06,278701623.1470201,194444178.36406007,3,107840085.78355782,107409578.95122579
2018-07-09,280945933.90512896,138238155.0308626,5,108453571.07272148,108175455.31166403
2018-07-10,282306580.9131136,53508109.34348938,8,108850225.13439265,108538238.850819
2018-07-11,280343411.8808204,53508109.34348938,8,108207797.38379127,107893290.33676574
2018-07-12,284737677.47287923,25030076.289203815,9,108418460.54573146,107885961.37637877
2018-07-13,289901789.32299167,25030076.289203815,9,109644482.19089688,109439700.9784162
2018-07-16,290540977.48506945,25030076.289203815,9,109221732.46727365,108970647.5136502
2018-07-17,290121043.7284504,25030076.289203815,9,109028624.5688285,108791087.98416945
2018-07-18,289059989.64079684,25030076.289203815,9,108658066.16910937,108640844.29623659
2018-07-19,289173044.6809082,80391284.59288111,7,108287033.30280931,108431968.92520797
2018-07-20,290424353.3102018,136745521.46973297,5,108614415.24366231,108816739.34552385
2018-07-23,285011093.422637,161044007.948155,4,107671175.68074092,107940928.57928103
