date,nav,cash,n_positions,topix_nav
2024-01-16,108669843.05005555,75821678.66406922,3,23013974.334590178
2024-01-17,109031324.69068055,75821678.66406922,3,22987506.522192214
2024-01-18,108716002.27857117,75821678.66406922,3,23155138.25022925
2024-01-21,109007835.9701941,63183.568460702896,10,23499222.060919385
2024-01-22,108837966.40414186,209356.40353150666,10,23463933.893905375
2024-01-23,109540486.92131715,37983.381278088316,10,23327181.28033262
2024-01-24,109762651.60505739,2226.0526892207563,10,23353649.092730585
2024-01-25,108926236.27589479,11389179.934342053,9,23044855.698571075
2024-01-28,110329191.47438112,356421.8698889278,10,23322767.72874969
2024-01-29,109872350.25428835,356421.8698889278,10,23322767.72874969
2024-01-30,111283224.90638795,356421.8698889278,10,23556568.987781636
2024-01-31,109902054.47181459,21055748.05396791,8,23375705.603062224
2024-02-01,109696413.03673159,42988750.44212709,6,23446288.685640067
2024-02-04,110000732.81654117,10183267.917859523,9,23631561.122909203
2024-02-05,109812707.17124087,21152137.496558256,8,23437463.831990805
2024-02-06,110407439.7140906,43030141.032449976,6,23538926.029032934
2024-02-07,110695852.79646364,31914266.675858177,7,23658031.18482377
2024-02-08,109596266.44131228,41995736.56460329,6,23609506.86209417
2024-02-12,110026537.62002322,31088153.59902712,7,24134456.307020325
2024-02-13,108785760.01238924,20738037.858153403,8,23847719.42319245
2024-02-14,108436597.847576,32734415.353984695,7,23962413.27691696
2024-02-15,109936028.63187167,5162.394994221628,10,24262384.066943813
2024-02-18,111561982.71207187,5162.394994221628,10,24381491.472251255
2024-02-19,111807175.4107413,5162.394994221628,10,24372668.868118603
2024-02-20,111577664.54739901,10734696.778539144,9,24249152.410261437
2024-02-21,112087956.50712802,113716.87394930422,10,24580002.314752586
2024-02-25,112041717.19438387,113716.87394930422,10,24690284.86641077
2024-02-26,112700319.50155702,21915423.877777733,8,24721163.98087506
2024-02-27,113822061.67111269,32473257.209442772,7,24694696.168477096
